276,00	1 045,00	902,00	604,00	1 173,00	800
186,00	12,00	217,00	191,00	440,00	209,2
186,00	12,00	130,00	191,00	168,00	137,4
186,00	12,00	21,00	191,00	168,00	115,6
186,00	12,00	21,00	43,00	168,00	86
140,00	12,00	21,00	43,00	168,00	76,8
140,00	12,00	21,00	43,00	168,00	76,8
140,00	12,00	21,00	43,00	99,00	63
140,00	12,00	21,00	43,00	99,00	63
34,00	12,00	21,00	43,00	99,00	41,8
34,00	12,00	21,00	43,00	99,00	41,8
34,00	12,00	21,00	43,00	99,00	41,8
34,00	12,00	21,00	43,00	71,00	36,2
34,00	12,00	21,00	43,00	71,00	36,2
34,00	12,00	21,00	43,00	33,00	28,6
34,00	12,00	21,00	43,00	0,00	22
34,00	12,00	21,00	43,00	0,00	22
34,00	3,00	1,00	43,00	0,00	16,2
24,00	3,00	1,00	43,00	0,00	14,2
24,00	3,00	1,00	43,00	0,00	14,2
24,00	3,00	1,00	22,00	0,00	10
24,00	3,00	1,00	22,00	0,00	10
24,00	3,00	1,00	22,00	0,00	10
24,00	3,00	1,00	22,00	0,00	10
24,00	3,00	1,00	22,00	0,00	10
24,00	3,00	1,00	22,00	0,00	10
24,00	3,00	1,00	22,00	0,00	10
1,00	3,00	1,00	22,00	0,00	5,4
1,00	3,00	1,00	22,00	0,00	5,4
1,00	3,00	1,00	22,00	0,00	5,4
1,00	3,00	1,00	22,00	0,00	5,4
1,00	3,00	1,00	22,00	0,00	5,4
1,00	3,00	1,00	22,00	0,00	5,4
1,00	3,00	1,00	22,00	0,00	5,4
1,00	3,00	1,00	22,00	0,00	5,4
1,00	3,00	1,00	22,00	0,00	5,4
1,00	3,00	1,00	22,00	0,00	5,4
1,00	3,00	1,00	22,00	0,00	5,4
1,00	3,00	1,00	22,00	0,00	5,4
1,00	3,00	1,00	22,00	0,00	5,4
1,00	3,00	1,00	22,00	0,00	5,4
1,00	3,00	1,00	22,00	0,00	5,4
1,00	2,00	1,00	22,00	0,00	5,2
1,00	2,00	1,00	22,00	0,00	5,2
1,00	2,00	1,00	22,00	0,00	5,2
1,00	2,00	1,00	22,00	0,00	5,2
1,00	2,00	1,00	22,00	0,00	5,2
1,00	1,00	1,00	22,00	0,00	5
1,00	1,00	1,00	22,00	0,00	5
1,00	1,00	1,00	22,00	0,00	5
1,00	1,00	1,00	22,00	0,00	5
1,00	1,00	1,00	22,00	0,00	5
1,00	1,00	1,00	22,00	0,00	5
1,00	1,00	1,00	22,00	0,00	5
1,00	1,00	1,00	22,00	0,00	5
1,00	1,00	1,00	22,00	0,00	5
1,00	1,00	1,00	22,00	0,00	5
1,00	1,00	1,00	22,00	0,00	5
1,00	1,00	1,00	22,00	0,00	5
1,00	1,00	1,00	22,00	0,00	5
1,00	1,00	1,00	22,00	0,00	5
1,00	1,00	1,00	22,00	0,00	5
1,00	1,00	1,00	20,00	0,00	4,6
1,00	1,00	1,00	20,00	0,00	4,6
1,00	1,00	1,00	20,00	0,00	4,6
1,00	1,00	1,00	20,00	0,00	4,6
1,00	1,00	1,00	20,00	0,00	4,6
0,00	1,00	1,00	20,00	0,00	4,4
0,00	1,00	1,00	20,00	0,00	4,4
0,00	1,00	1,00	20,00	0,00	4,4
0,00	1,00	1,00	20,00	0,00	4,4
0,00	1,00	1,00	20,00	0,00	4,4
0,00	1,00	1,00	20,00	0,00	4,4
0,00	1,00	1,00	20,00	0,00	4,4
0,00	1,00	1,00	20,00	0,00	4,4
0,00	1,00	1,00	20,00	0,00	4,4
0,00	1,00	1,00	20,00	0,00	4,4
0,00	1,00	1,00	20,00	0,00	4,4
0,00	1,00	1,00	20,00	0,00	4,4
0,00	1,00	1,00	20,00	0,00	4,4
0,00	1,00	1,00	20,00	0,00	4,4
0,00	1,00	1,00	20,00	0,00	4,4
0,00	1,00	1,00	20,00	0,00	4,4
0,00	1,00	1,00	20,00	0,00	4,4
0,00	1,00	1,00	20,00	0,00	4,4
0,00	1,00	1,00	20,00	0,00	4,4
0,00	1,00	1,00	20,00	0,00	4,4
0,00	1,00	1,00	20,00	0,00	4,4
0,00	1,00	1,00	20,00	0,00	4,4
0,00	1,00	1,00	20,00	0,00	4,4
0,00	1,00	1,00	20,00	0,00	4,4
0,00	1,00	1,00	20,00	0,00	4,4
